seed,miss_rate,precision_at_2,recall_at_2
259,0.2,0.5,1.0
259,0.3,0.5,1.0
266,0.0,0.5,0.5
266,0.1,0.5,0.5
266,0.2,0.5,0.5
266,0.3,0.5,0.5
274,0.0,1.0,1.0
274,0.1,1.0,1.0
274,0.2,1.0,1.0
274,0.3,1.0,1.0
281,0.0,1.0,1.0
281,0.1,1.0,1.0
281,0.2,1.0,1.0
281,0.3,1.0,1.0
284,0.0,0.5,1.0
284,0.1,0.5,1.0
284,0.2,0.5,1.0
284,0.3,0.5,1.0
298,0.0,0.5,1.0
298,0.1,0.5,1.0
298,0.2,0.5,1.0
298,0.3,0.5,1.0
301,0.0,0.5,1.0
301,0.1,0.5,1.0
301,0.2,0.5,1.0
301,0.3,0.5,1.0
304,0.0,1.0,1.0
304,0.1,1.0,1.0
304,0.2,0.5,1.0
304,0.3,1.0,1.0
309,0.0,1.0,1.0
309,0.1,1.0,1.0
309,0.2,1.0,1.0
309,0.3,1.0,1.0
314,0.0,0.5,1.0
314,0.1,0.5,1.0
314,0.2,0.5,1.0
314,0.3,0.5,1.0
316,0.0,0.5,1.0
316,0.1,0.5,1.0
316,0.2,0.5,1.0
316,0.3,0.5,1.0
317,0.0,1.0,1.0
317,0.1,1.0,1.0
317,0.2,1.0,1.0
317,0.3,1.0,1.0
326,0.0,1.0,1.0
326,0.1,1.0,1.0
326,0.2,1.0,1.0
326,0.3,1.0,1.0
332,0.0,1.0,1.0
332,0.1,1.0,1.0
332,0.2,1.0,1.0
332,0.3,1.0,1.0
334,0.0,1.0,1.0
334,0.1,1.0,1.0
334,0.2,1.0,1.0
334,0.3,1.0,1.0
336,0.0,1.0,1.0
336,0.1,1.0,1.0
336,0.2,1.0,1.0
336,0.3,1.0,1.0
339,0.0,1.0,1.0
339,0.1,1.0,1.0
339,0.2,1.0,1.0
339,0.3,1.0,1.0
347,0.0,1.0,0.6666666666666666
347,0.1,1.0,0.6666666666666666
347,0.2,1.0,0.6666666666666666
347,0.3,1.0,0.6666666666666666
352,0.0,1.0,1.0
352,0.1,1.0,1.0
352,0.2,1.0,1.0
352,0.3,1.0,1.0
354,0.0,0.5,1.0
354,0.1,0.5,1.0
354,0.2,0.5,1.0
354,0.3,0.5,1.0
357,0.0,1.0,1.0
357,0.1,1.0,1.0
357,0.2,1.0,1.0
357,0.3,1.0,1.0
359,0.0,0.5,1.0
359,0.1,0.5,1.0
359,0.2,0.5,1.0
359,0.3,0.5,1.0
360,0.0,0.5,1.0
360,0.1,0.5,1.0
360,0.2,0.5,1.0
360,0.3,0.5,1.0
366,0.0,0.5,1.0
366,0.1,0.5,1.0
366,0.2,0.5,1.0
366,0.3,0.5,1.0
368,0.0,0.5,1.0
368,0.1,0.5,1.0
368,0.2,0.5,1.0
368,0.3,0.5,1.0
373,0.0,1.0,1.0
373,0.1,1.0,1.0
373,0.2,1.0,1.0
373,0.3,1.0,1.0
377,0.0,1.0,1.0
377,0.1,1.0,1.0
377,0.2,0.5,1.0
377,0.3,0.5,1.0
378,0.0,1.0,1.0
378,0.1,1.0,1.0
378,0.2,1.0,1.0
378,0.3,1.0,1.0
380,0.0,0.5,1.0
380,0.1,0.5,1.0
380,0.2,0.5,1.0
380,0.3,0.5,1.0
391,0.0,0.5,1.0
391,0.1,0.5,1.0
391,0.2,0.5,1.0
391,0.3,0.5,1.0
393,0.0,0.5,1.0
393,0.1,0.5,1.0
393,0.2,0.5,1.0
393,0.3,0.5,1.0
394,0.0,1.0,1.0
394,0.1,1.0,1.0
394,0.2,1.0,1.0
394,0.3,1.0,1.0
400,0.0,0.5,1.0
400,0.1,0.5,1.0
400,0.2,0.5,1.0
400,0.3,0.5,1.0
401,0.0,1.0,1.0
401,0.1,1.0,1.0
401,0.2,1.0,1.0
401,0.3,1.0,1.0
403,0.0,1.0,1.0
403,0.1,1.0,1.0
403,0.2,1.0,1.0
403,0.3,1.0,1.0
411,0.0,0.5,1.0
411,0.1,0.5,1.0
411,0.2,0.5,1.0
411,0.3,0.5,1.0
415,0.0,0.5,1.0
415,0.1,0.5,1.0
415,0.2,0.5,1.0
415,0.3,0.5,1.0
426,0.0,1.0,1.0
426,0.1,1.0,1.0
426,0.2,1.0,1.0
426,0.3,1.0,1.0
429,0.0,0.5,0.25
429,0.1,0.5,0.25
429,0.2,0.5,0.25
429,0.3,0.5,0.25
430,0.0,0.5,0.3333333333333333
430,0.1,0.5,0.3333333333333333
430,0.2,0.5,0.3333333333333333
430,0.3,0.5,0.3333333333333333
431,0.0,1.0,0.6666666666666666
431,0.1,1.0,0.6666666666666666
431,0.2,1.0,0.6666666666666666
431,0.3,1.0,0.6666666666666666
441,0.0,1.0,1.0
441,0.1,1.0,1.0
441,0.2,1.0,1.0
441,0.3,1.0,1.0
446,0.0,1.0,0.6666666666666666
446,0.1,1.0,0.6666666666666666
446,0.2,1.0,0.6666666666666666
446,0.3,1.0,0.6666666666666666
449,0.0,0.5,1.0
449,0.1,0.5,1.0
449,0.2,0.5,1.0
449,0.3,0.5,1.0
453,0.0,1.0,1.0
453,0.1,1.0,1.0
453,0.2,1.0,1.0
453,0.3,1.0,1.0
455,0.0,0.5,0.25
455,0.1,0.5,0.25
455,0.2,0.5,0.25
455,0.3,0.5,0.25
458,0.0,0.5,1.0
458,0.1,0.5,1.0
458,0.2,0.5,1.0
458,0.3,0.5,1.0
463,0.0,0.5,1.0
463,0.1,0.5,1.0
463,0.2,0.5,1.0
463,0.3,0.5,1.0
465,0.0,0.5,1.0
465,0.1,1.0,1.0
465,0.2,1.0,1.0
465,0.3,0.5,1.0
466,0.0,1.0,1.0
466,0.1,1.0,1.0
466,0.2,1.0,1.0
466,0.3,1.0,1.0
503,0.0,1.0,1.0
503,0.1,1.0,1.0
503,0.2,1.0,1.0
503,0.3,1.0,1.0
513,0.0,1.0,1.0
513,0.1,1.0,1.0
513,0.2,1.0,1.0
513,0.3,1.0,1.0
515,0.0,0.5,1.0
515,0.1,0.5,1.0
515,0.2,0.5,1.0
515,0.3,0.5,1.0
529,0.0,0.5,0.25
529,0.1,0.5,0.25
529,0.2,0.5,0.25
529,0.3,0.0,0.0
532,0.0,1.0,1.0
532,0.1,1.0,1.0
532,0.2,1.0,1.0
532,0.3,1.0,1.0
535,0.0,0.5,1.0
535,0.1,0.5,1.0
535,0.2,0.5,1.0
535,0.3,0.5,1.0
537,0.0,1.0,1.0
537,0.1,1.0,1.0
537,0.2,1.0,1.0
537,0.3,1.0,1.0
541,0.0,0.5,1.0
541,0.1,0.5,1.0
541,0.2,0.5,1.0
541,0.3,0.5,1.0
542,0.0,1.0,0.6666666666666666
542,0.1,1.0,0.6666666666666666
542,0.2,1.0,0.6666666666666666
542,0.3,1.0,0.6666666666666666
545,0.0,1.0,1.0
545,0.1,1.0,1.0
545,0.2,1.0,1.0
545,0.3,1.0,1.0
546,0.0,1.0,1.0
546,0.1,1.0,1.0
546,0.2,1.0,1.0
546,0.3,1.0,1.0
548,0.0,1.0,1.0
548,0.1,1.0,1.0
548,0.2,1.0,1.0
548,0.3,1.0,1.0
553,0.0,1.0,1.0
553,0.1,1.0,1.0
553,0.2,1.0,1.0
553,0.3,1.0,1.0
555,0.0,0.5,1.0
555,0.1,1.0,1.0
555,0.2,1.0,1.0
555,0.3,1.0,1.0
575,0.0,1.0,1.0
575,0.1,1.0,1.0
575,0.2,1.0,1.0
575,0.3,1.0,1.0
577,0.0,0.5,1.0
577,0.1,0.5,1.0
577,0.2,0.5,1.0
577,0.3,0.5,1.0
582,0.0,1.0,1.0
582,0.1,1.0,1.0
582,0.2,1.0,1.0
582,0.3,1.0,1.0
587,0.0,1.0,1.0
587,0.1,1.0,1.0
587,0.2,1.0,1.0
587,0.3,1.0,1.0
592,0.0,1.0,1.0
592,0.1,1.0,1.0
592,0.2,1.0,1.0
592,0.3,1.0,1.0
593,0.0,1.0,0.6666666666666666
593,0.1,1.0,0.6666666666666666
593,0.2,1.0,0.6666666666666666
593,0.3,1.0,0.6666666666666666
596,0.0,1.0,0.6666666666666666
596,0.1,1.0,0.6666666666666666
596,0.2,1.0,0.6666666666666666
596,0.3,1.0,0.6666666666666666
605,0.0,1.0,1.0
605,0.1,1.0,1.0
605,0.2,1.0,1.0
605,0.3,1.0,1.0
606,0.0,1.0,0.5
606,0.1,1.0,0.5
606,0.2,1.0,0.5
606,0.3,1.0,0.5
608,0.0,0.5,1.0
608,0.1,0.5,1.0
608,0.2,0.5,1.0
608,0.3,0.5,1.0
615,0.0,1.0,1.0
615,0.1,1.0,1.0
615,0.2,1.0,1.0
615,0.3,1.0,1.0
623,0.0,0.5,1.0
623,0.1,0.5,1.0
623,0.2,0.5,1.0
623,0.3,0.5,1.0
627,0.0,0.5,1.0
627,0.1,0.5,1.0
627,0.2,0.5,1.0
627,0.3,0.5,1.0
645,0.0,1.0,1.0
645,0.1,1.0,1.0
645,0.2,1.0,1.0
645,0.3,1.0,1.0
652,0.0,1.0,1.0
652,0.1,1.0,1.0
652,0.2,1.0,1.0
652,0.3,1.0,1.0
658,0.0,0.5,1.0
658,0.1,0.5,1.0
658,0.2,0.5,1.0
658,0.3,0.5,1.0
664,0.0,0.5,1.0
